OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
72,746,747,747,D:\Users\Wildlands\Desktop\QUTO\0F4A4851.jpg,0F4A4851.jpg,2015:05:18 09:33:59,65535,{68B53BCA-7567-4544-BE25-487ECE04DAC0},-119.5682317,34.018935,440.4,1, ,0,0,0,0,923.6699829,0.323978007,508.5400085,8.072400093,22.95809937
73,751,752,752,D:\Users\Wildlands\Desktop\QUTO\0F4A4856.jpg,0F4A4856.jpg,2015:05:18 09:34:00,65535,{B9B0A04C-F5BF-4866-9872-41AB28DFB34B},-119.5704433,34.01806,416.6,1, ,0,0,0,0,935.0499878,0.311094999,553.6099854,8.17140007,23.54210091
74,761,762,762,D:\Users\Wildlands\Desktop\QUTO\0F4A4868.jpg,0F4A4868.jpg,2015:05:18 09:34:49,65535,{AF55AAD0-5F6E-44EC-BE9C-FBC12A72B890},-119.5726367,34.019855,437.5,1, ,0,0,0,0,921.4069824,0.311223,513.7869873,8.059900284,23.01819992
75,777,778,778,D:\Users\Wildlands\Desktop\QUTO\0F4A4917-2.jpg,0F4A4917-2.jpg,2015:05:18 09:47:24,65535,{458D6735-C2CE-4FE2-A66E-49445CA674BC},-119.5999867,34.03699333,197.5,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
76,781,782,782,D:\Users\Wildlands\Desktop\QUTO\0F4A4921.jpg,0F4A4921.jpg,2015:05:18 09:47:25,65535,{F6C9916B-A809-4585-B994-9820CD5066D9},-119.5986667,34.03685333,197.5,1, ,0,0,0,0,959.0200195,0.287609994,455.5469971,7.929100037,22.26819992
77,792,793,793,D:\Users\Wildlands\Desktop\QUTO\0F4A4932.jpg,0F4A4932.jpg,2015:05:18 09:49:23,65535,{7084491D-02B4-4F73-8208-03A85421C70E},-119.6049183,34.03816667,83.4,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
78,795,796,796,D:\Users\Wildlands\Desktop\QUTO\0F4A4935.jpg,0F4A4935.jpg,2015:05:18 09:49:26,65535,{3274C79A-3225-4A13-8A7E-DF3CFB5BAB61},-119.603825,34.03787,93.4,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
79,809,810,810,D:\Users\Wildlands\Desktop\QUTO\0F4A5137-2.jpg,0F4A5137-2.jpg,2015:05:10 07:21:51,65535,{3EC39AB1-D976-4A8C-AF31-1D92C54B8F2A},-119.84485,34.05929167,212.7,1, ,0,0,0,0,943.960022,0.184919998,508.9899902,5.882400036,23.16460037
80,820,821,821,D:\Users\Wildlands\Desktop\QUTO\0F4A5148-2.jpg,0F4A5148-2.jpg,2015:05:10 07:21:56,65535,{4DDB295D-8FF0-4CB2-9BB2-67BAAA55733F},-119.8454817,34.05786333,256.8,1, ,0,0,0,0,935.5469971,0.246939003,510.3500061,5.92509985,23.10720062
81,824,825,825,D:\Users\Wildlands\Desktop\QUTO\0F4A5159-2.jpg,0F4A5159-2.jpg,2015:05:10 07:25:35,65535,{5B851F27-79B6-47CB-A286-34C4D49EC31C},-119.84643,34.05602667,229.9,1, ,0,0,0,0,909.7600098,0.240737006,552.0670166,5.45909977,23.69389915
